ID,cins,yas,Medenidurum,Egtmdurumu,gorevsure,gorevg,TOZT1,TOZT2,TOZT3,TOZT4_cev,TOZT5_cev,TODT1,TODT2,TODT3,TODT4,TODT5,TODT6,TOFT1,TOFT2,TOFT3,TOFT4,TOFT5,TOFT6_cev,TOFT7,ODD1,ODD2,ODD3_cev,ODD4,ODD5_cev,ODD6,ODD7_cev,ODD8,Tuken,Tuken_Zihin,Tuken_Duyg,Tuken_Fizik,OrgDest
57,2 Kadın,31,1 Bekar,"4 Üniversite ",9,2 Hasta hizmetleri,3,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,4,4,4,5,5,4,5,4,1.8333333333333333,1.8,1.6666666666666667,2,4.375
58,1 Erkek,26,1 Bekar,"4 Üniversite ",4,3 Hemşire,3,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,1,5,1,5,1.2222222222222223,1.6,1.1666666666666667,1,3.875
59,2 Kadın,23,2 Evli,"4 Üniversite ",2,2 Hasta hizmetleri,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,2,2,5,5,5,5,5,5,5,5,1.3333333333333333,1,1.1666666666666667,1.7142857142857142,5
60,2 Kadın,21,1 Bekar,3 Lise,2,2 Hasta hizmetleri,1,2,2,3,2,4,1,2,3,3,3,3,3,3,2,2,4,2,4,4,4,4,5,5,5,5,2.5,2,2.6666666666666665,2.7142857142857144,4.5
61,2 Kadın,33,3 Boşanmış,3 Lise,8,5 Yonetim,4,3,2,3,3,3,4,3,3,4,2,3,2,3,4,4,2,3,5,5,3,5,3,1,1,2,3.0555555555555554,3,3.1666666666666665,3,3.125
62,2 Kadın,30,2 Evli,3 Lise,10,2 Hasta hizmetleri,1,3,1,2,2,3,2,1,1,1,1,1,1,1,1,1,3,3,1,2,3,3,3,3,3,3,1.6111111111111112,1.8,1.5,1.5714285714285714,2.625
63,2 Kadın,27,2 Evli,"4 Üniversite ",3,2 Hasta hizmetleri,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,4,4,5,5,5,5,5,5,1.1666666666666667,1,1,1.4285714285714286,4.75
64,2 Kadın,27,2 Evli,"4 Üniversite ",6,2 Hasta hizmetleri,3,1,3,1,1,2,3,3,3,1,1,1,1,1,3,3,3,2,3,3,1,4,1,3,5,3,2,1.8,2.1666666666666665,2,2.875
65,1 Erkek,36,2 Evli,"4 Üniversite ",9,2 Hasta hizmetleri,3,3,3,3,3,2,2,2,3,3,3,1,1,1,1,2,2,2,3,3,3,4,2,1,3,4,2.2222222222222223,3,2.5,1.4285714285714286,2.875
66,1 Erkek,30,1 Bekar,"4 Üniversite ",1,2 Hasta hizmetleri,4,3,3,5,3,3,3,3,3,3,3,1,1,1,4,3,2,1,5,5,1,5,5,5,1,5,2.7222222222222223,3.6,3,1.8571428571428572,4
67,2 Kadın,40,2 Evli,"4 Üniversite ",1,6 Misafir hizmetleri,2,2,1,1,1,3,2,2,2,2,2,3,3,3,3,2,2,2,3,3,2,4,3,3,4,4,2.111111111111111,1.4,2.1666666666666665,2.5714285714285716,3.25
68,2 Kadın,29,1 Bekar,"4 Üniversite ",7,2 Hasta hizmetleri,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,4,5,4,2,3,4,4,4,1.3333333333333333,1.2,1.1666666666666667,1.5714285714285714,3.75
69,2 Kadın,21,1 Bekar,3 Lise,2,2 Hasta hizmetleri,5,4,3,5,4,4,3,4,2,3,2,3,2,2,2,2,3,1,1,2,2,2,2,2,1,2,3,4.2,3,2.142857142857143,1.75
70,1 Erkek,32,2 Evli,"4 Üniversite ",12,3 Hemşire,4,3,3,2,1,3,3,4,3,2,2,1,2,3,5,2,3,3,3,2,2,5,4,2,4,4,2.7222222222222223,2.6,2.8333333333333335,2.7142857142857144,3.25
71,2 Kadın,33,3 Boşanmış,"4 Üniversite ",2,2 Hasta hizmetleri,4,2,2,4,3,2,3,2,3,5,3,4,3,4,5,3,2,4,3,2,3,3,2,3,3,3,3.2222222222222223,3,3,3.5714285714285716,2.75
72,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
73,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
74,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
75,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
76,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
77,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
78,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
79,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
80,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
81,2 Kadın,24,1 Bekar,"4 Üniversite ",4,2 Hasta hizmetleri,1,1,1,1,4,3,3,3,5,5,5,5,5,5,3,5,4,5,4,2,5,1,4,2,4,2,3.5555555555555554,1.6,4,4.571428571428571,3
